,city,name,location,price,discount,m2,bedrooms,bathrooms,insert_date
713,Madrid,Piso en venta en Chamberí,Madrid,"300,000",7, 70, 3, 1,2023-10-15
714,Madrid,Piso en venta en Moncloa - Aravaca,"Valdezarza, Madrid","205,000",6, 7, 3, 1,2023-10-15
715,Madrid,Piso en venta en Calle de la Gavia Seca,"Villa De Vallecas, Casco Histórico De Vallecas, Madrid","110,000",0, 60, 3, 1,2023-10-15
716,Madrid,Box/plaza de garaje en venta en Tetuán,"Valdeacederas, Madrid","16,000",0, 25,unknown,unknown,2023-10-15
717,Madrid,Piso en venta en Puente De Vallecas,"Entrevías, Madrid","350,000",0, 360, 8, 2,2023-10-15
718,Madrid,Piso en venta en Moncloa - Aravaca,"Valdezarza, Madrid","169,000",0, 63, 2, 1,2023-10-15
719,Madrid,Piso en venta en Chamartín,"Ciudad Jardín, Madrid","345,000",0, 88, 3, 1,2023-10-15
720,Madrid,Box/plaza de garaje en venta en Arganzuela,"Acacias - Legazpi, Madrid","15,900",0, 6,unknown,unknown,2023-10-15
721,Madrid,Piso en venta en Tetuán,"Berruguete, Madrid","160,000",0, 57, 2, 1,2023-10-15
722,Madrid,Piso en venta en Fuencarral,"Pilar, Madrid","290,000",0, 75,unknown,unknown,2023-10-15
723,Madrid,Piso en venta en Fuencarral,"Pilar, Madrid","225,000",0, 63, 2, 1,2023-10-15
724,Madrid,Box/plaza de garaje en venta en Calle de Embajadores,"Centro, Lavapiés - Embajadores, Madrid","21,500",0, 14,unknown,unknown,2023-10-15
725,Madrid,Piso en venta en Moncloa - Aravaca,"Argüelles - Casa De Campo, Madrid","512,500",0, 85, 2, 1,2023-10-15
726,Madrid,Piso en venta en Centro,"Lavapiés - Embajadores, Madrid","110,000",10, 3, 2, 1,2023-10-15
727,Madrid,Piso en venta en Carabanchel,"Marque De Vadillo - Comillas, Madrid","155,000",0, 65, 2, 1,2023-10-15
728,Madrid,Piso en venta en Tetuán,"Valdeacederas, Madrid","169,000",6, 79, 3, 1,2023-10-15
729,Madrid,Piso en venta en Calle Albaida,"San Blas, Rosas, Madrid","139,999",5, 61, 3, 1,2023-10-15
730,Madrid,Piso en venta en Villaverde,"San Cristóbal, Madrid","110,000",0, 70, 3, 1,2023-10-15
